ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSM437093	365.199683555172	1635.47331699062	2000.6730005458	0.622656884405135
GSM437094	-279.533722017287	710.405222296544	430.871500279257	0.784917017588243
GSM437095	-561.419661826237	786.090434221843	224.670772395607	0.803308635549238
GSM437096	-284.930402679942	370.236150627789	85.3057479478469	0.815323233046309
GSM437097	-27.25043775176	972.969683308298	945.719245556538	0.735895646466627
GSM437098	655.246614483741	1585.135959506	2240.38257398974	0.594743824714776
GSM437099	-800.713967624658	1338.82419563795	538.110228013288	0.775066788034223
GSM437100	778.011203674677	1918.42766023077	2696.43886390545	0.53963472468352
GSM437101	-747.533337371715	747.867623870165	0.334286498449728	0.822481467419556
GSM437102	1472.63107791437	1788.52514038762	3261.15621830199	0.4680732965045
GSM437103	606.505999707271	1711.27401285791	2317.78001256518	0.585572320155363
GSM437104	-825.847545678992	628.554892765685	-197.292652913307	0.838633380330866
GSM437105	19.319948459352	2041.80576112245	2061.1257095818	0.615688790661923
GSM437106	4.91901205387421	1557.16007996414	1562.07909201801	0.671709543898106
GSM437107	-482.719619739058	883.394396218523	400.674776479466	0.787655696670228
GSM437108	-332.698925498907	1260.2291255302	927.530200031291	0.737700824918429
GSM437109	992.268470649898	2255.91249295048	3248.18096360038	0.469755536716473
GSM437110	143.014622963338	1564.5860168661	1707.60063982943	0.655733058510481
GSM437111	921.669208896483	1490.82501499164	2412.49422388812	0.574246081244721
GSM437112	146.575080804213	1491.85460706172	1638.42968786593	0.663364940774772
GSM437113	515.11825971249	1222.31236090543	1737.43062061792	0.652420899514804
GSM437114	-125.265091061521	1100.49229210576	975.227201044234	0.732955966021911
GSM437115	-293.29654109987	735.711476078144	442.414934978274	0.783866013309086
GSM437116	761.131163715493	2004.74064388269	2765.87180759818	0.531026250205881
GSM437117	555.255956939286	958.091261737531	1513.34721867682	0.676991563005946
GSM437118	575.323792081017	2354.36632430732	2929.69011638834	0.510498651999046
GSM437119	1602.38264277577	1017.21991187739	2619.60255465316	0.549095712058626
GSM437120	277.094344073183	1242.86012961031	1519.95447368349	0.676277430523208
GSM437121	394.729651845025	1309.99923981624	1704.72889166126	0.656051259399096
GSM437122	304.296678600593	556.489249645631	860.785928246224	0.744279733607591
GSM437123	574.10439803309	1397.87660175255	1971.98099978564	0.62594694958827
GSM437124	260.368345926727	880.114368888885	1140.48271481561	0.716240087956363
GSM437125	801.948583826687	1503.95097630534	2305.89956013203	0.586985079737818
GSM437126	-218.927364026025	1711.48486163566	1492.55749760963	0.679234422789236
GSM437127	550.569676732119	1166.57177280259	1717.14144953471	0.654675063310018
GSM437128	-90.6388361895087	557.380263538435	466.741427348926	0.781643774524298
GSM437129	-493.5352829779	948.740409501408	455.205126523508	0.782698866369782
GSM437130	737.851589949999	1019.61015215809	1757.46174210809	0.650189728531995
GSM437131	99.4660513814784	1016.48646463885	1115.95251602033	0.71874823602383
GSM437132	-45.5017244080087	280.777057660119	235.27533325211	0.802380593586742
GSM437133	675.961918440305	1948.22160405762	2624.18352249793	0.548533595758956
GSM437134	422.605324843126	1096.48015827972	1519.08548312284	0.676371390046168
GSM437135	1331.44507091014	1232.19901117119	2563.64408208134	0.555942085032388
GSM437136	164.741753988845	888.468375370811	1053.21012935966	0.725121002642036
GSM437137	398.820702703575	1033.31828535904	1432.13898806261	0.685716580481632
GSM437138	373.713810511564	525.557784224125	899.271594735689	0.740494924272079
GSM437139	331.229105714549	914.308382232983	1245.53748794753	0.705393872984443
GSM437140	-669.989966336649	539.618158575373	-130.371807761276	0.833242341900641
GSM437141	72.2829033794875	1443.39113031595	1515.67403369544	0.676740146275512
GSM437142	-250.910168509662	1265.78814491346	1014.8779764038	0.728984180629527
GSM437143	-22.6224068870567	1800.39120641493	1777.76879952787	0.647922084506763
GSM437144	879.159445989064	1042.34658466576	1921.50603065483	0.631707849686648
GSM437145	894.823446620307	2187.4695993704	3082.29304599071	0.491110618514941
GSM437146	-146.84719976424	1590.42341792863	1443.57621816439	0.684493630440907
GSM437147	-72.0162226160613	1477.35601805154	1405.33979543548	0.688574564832373
GSM437148	-274.171193833103	1723.92508267221	1449.75388883911	0.683832267238142
GSM437149	739.130634307978	1395.16992093504	2134.30055524302	0.607189470126539
GSM437150	34.9814264505113	1230.96784819081	1265.94927464132	0.703266947172808
GSM437151	72.4040531468782	1098.25587801263	1170.65993115951	0.71314181163709
GSM437152	831.050705701657	1926.38546316534	2757.43616886699	0.532075083934722
GSM437153	-525.724853088878	542.501197484378	16.7763443954999	0.821106292086772
GSM437154	231.513849128335	958.067045333541	1189.58089446188	0.71119206670148
GSM437155	1159.68043425115	2144.73306185526	3304.41349610641	0.462452763666803
GSM437156	390.681694825979	1850.01010432135	2240.69179914733	0.594707333851888
GSM437157	1222.43232483226	1908.3194004557	3130.75172528796	0.484901982075528
GSM437158	-245.785199347436	595.835605397156	350.05040604972	0.792212305928683
GSM437159	745.147013999003	1538.70069698475	2283.84771098375	0.589602631996545
GSM437160	-690.079242796354	1167.48018970657	477.400946910215	0.780666879264645
GSM437161	1125.73395911505	2350.50559960036	3476.23955871541	0.439945049577719
GSM437162	588.072752784509	1347.67494618741	1935.74769897192	0.630085892146701
GSM437163	1028.11372828323	1914.88427435143	2942.99800263466	0.508817955027343
GSM437164	-74.1367539599288	454.255577834465	380.118823874537	0.789511160449572
GSM437165	-692.124542916282	767.240665531147	75.1161226148647	0.816188350972624
GSM437166	766.566213388056	1616.4739289775	2383.04014236556	0.577780292269315
