ID	CAF_EPIC	CAF_MCPcounter	StromalScore
GSM437093	0.00863359137573691	9.32858598830518	365.199683555172
GSM437094	0.00768053067690387	8.83998730112062	-279.533722017287
GSM437095	0.00777213393116272	8.53769775696049	-561.419661826237
GSM437096	0.00818625911096006	9.03175545435976	-284.930402679942
GSM437097	0.00816407177539438	9.07393009674628	-27.25043775176
GSM437098	0.0091608092270301	9.70958445732552	655.246614483741
GSM437099	0.00731231345343367	8.14381933036527	-800.713967624658
GSM437100	0.00893712288438057	9.49333753356342	778.011203674677
GSM437101	0.00758756846536541	8.33626364652605	-747.533337371715
GSM437102	0.00926686966568498	9.74870776763747	1472.63107791437
GSM437103	0.00862930288068844	9.39628028558111	606.505999707271
GSM437104	0.00789890104321408	8.57120272957162	-825.847545678992
GSM437105	0.00807013151629072	9.03279043679743	19.319948459352
GSM437106	0.00837083977605959	9.17122945559703	4.91901205387421
GSM437107	0.00774116087842116	8.51337543930322	-482.719619739058
GSM437108	0.00787209371890274	8.63353669714282	-332.698925498907
GSM437109	0.00871556842201464	9.52675308276936	992.268470649898
GSM437110	0.00804679504676199	9.21799292249462	143.014622963338
GSM437111	0.00896307031227381	9.9375056048138	921.669208896483
GSM437112	0.00805762059856493	8.83349030761494	146.575080804213
GSM437113	0.00890027572480271	9.57054856286297	515.11825971249
GSM437114	0.00795574722962121	8.78825551301787	-125.265091061521
GSM437115	0.00772423314921463	8.64392555168276	-293.29654109987
GSM437116	0.00862244098197306	9.48945988606588	761.131163715493
GSM437117	0.00891287392286546	9.81704927169409	555.255956939286
GSM437118	0.0083885826593867	9.43720841654974	575.323792081017
GSM437119	0.0101373169393466	10.2223466387307	1602.38264277577
GSM437120	0.00839801354454653	9.38623367227308	277.094344073183
GSM437121	0.0086874867016057	9.29898657918355	394.729651845025
GSM437122	0.00838714680333993	9.31230475494472	304.296678600593
GSM437123	0.00858896874347116	9.52447933328644	574.10439803309
GSM437124	0.00885073082737338	9.47843999714886	260.368345926727
GSM437125	0.00873674908313037	9.67174856097939	801.948583826687
GSM437126	0.00792581470813991	8.89122165367251	-218.927364026025
GSM437127	0.00874626056177411	9.70357576861995	550.569676732119
GSM437128	0.00822469511998337	9.06194357637452	-90.6388361895087
GSM437129	0.00792356290488414	8.67501213541687	-493.5352829779
GSM437130	0.0090326189475123	9.88833968586309	737.851589949999
GSM437131	0.00832115061831391	8.99049597717659	99.4660513814784
GSM437132	0.00841114585743576	9.17618025747028	-45.5017244080087
GSM437133	0.00862152979006761	9.64309832611107	675.961918440305
GSM437134	0.00871605475400207	9.7453001526892	422.605324843126
GSM437135	0.00940850364486788	10.2415808648434	1331.44507091014
GSM437136	0.00860596161138545	9.2576705963302	164.741753988845
GSM437137	0.00864709521378137	9.39136530952944	398.820702703575
GSM437138	0.00894517416605421	9.55124415294913	373.713810511564
GSM437139	0.0087246934901	8.71876838598872	331.229105714549
GSM437140	0.0077291311212076	8.64012551524995	-669.989966336649
GSM437141	0.00812661496325678	9.03345835738084	72.2829033794875
GSM437142	0.00816164043459416	8.91204641524089	-250.910168509662
GSM437143	0.00811284362002605	8.79037630644147	-22.6224068870567
GSM437144	0.00914491484189396	9.97128945386616	879.159445989064
GSM437145	0.00884356943039988	9.71829517809311	894.823446620307
GSM437146	0.00771907513580187	8.67545875577356	-146.84719976424
GSM437147	0.00799026106413822	8.95118133290744	-72.0162226160613
GSM437148	0.0078798953884166	8.77105550253435	-274.171193833103
GSM437149	0.00873805974340085	9.76327427361715	739.130634307978
GSM437150	0.00833987073781525	9.16664787730238	34.9814264505113
GSM437151	0.00842086717076513	9.15985290535589	72.4040531468782
GSM437152	0.00873333269177778	9.76532864843074	831.050705701657
GSM437153	0.00794676733256358	9.06796661538678	-525.724853088878
GSM437154	0.008503834494039	9.50091400967187	231.513849128335
GSM437155	0.00880900912003167	9.82638327729571	1159.68043425115
GSM437156	0.00851511677165001	9.55163935671513	390.681694825979
GSM437157	0.00913027453501994	9.97589670775286	1222.43232483226
GSM437158	0.00810477602147683	8.83409611229886	-245.785199347436
GSM437159	0.00902772880887339	9.79449321445391	745.147013999003
GSM437160	0.00756102030940272	8.41240611616098	-690.079242796354
GSM437161	0.00862410416354987	9.58069146303501	1125.73395911505
GSM437162	0.00866336791346706	9.5148277747782	588.072752784509
GSM437163	0.00909283692588003	9.82644416478091	1028.11372828323
GSM437164	0.00848669640212102	9.41366354479396	-74.1367539599288
GSM437165	0.00756798829259722	8.42202443678159	-692.124542916282
GSM437166	0.00864049796967562	9.58282333672281	766.566213388056
GSM437167	0.00826481292321691	9.1425115726972	345.406697251603
GSM437168	0.00792187346112538	8.44611998986928	-589.949363251452
GSM437169	0.0076788086333055	8.62760526920747	-57.5062800672194
GSM437170	0.00847098993147369	9.62299888367243	580.779930707479
GSM437171	0.00869795237427163	9.57609946864037	1006.53781556794
GSM437172	0.00829035343662881	9.14847043351286	128.23931272801
GSM437173	0.00899115099408961	9.8823326811758	568.675557187338
GSM437174	0.00931561264132555	9.75678319227399	787.602585454194
GSM437175	0.00936770088187966	10.1611125950662	1257.64456764665
GSM437176	0.00827377503692214	9.3162247633665	16.9047854915725
GSM437177	0.00876553517357094	9.34474971393182	217.559434006775
GSM437178	0.00880023514824075	9.75690571024431	867.977836896395
GSM437179	0.00850670563680463	9.21452458083692	100.218199136827
GSM437180	0.00898129247212407	9.79405298202031	770.119763781469
GSM437181	0.00910990037884362	9.99037243441502	1174.01498979603
GSM437182	0.00898811899378094	9.57771936214131	657.2691347024
