ID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
GSM437093	0.0322386168856051	0.00863359137573691	0.13753166839164	0.0855182228202108	0.0922295496412828	0.00647358387270399	3.60759215854703e-10	0.637374766652061
GSM437094	0.0329527784635969	0.00768053067690387	0.127336632984848	0.0814731518303013	0.092867630754973	0.00596349894040819	1.44805803439743e-09	0.651725774900911
GSM437095	0.0321586223879124	0.00777213393116272	0.132839125647486	0.0820862725515915	0.0925511081603154	0.00576597557182849	5.93075388380805e-10	0.646826761156628
GSM437096	0.0296383643984291	0.00818625911096006	0.129267759551329	0.0854310330869822	0.0925908553265056	0.00584519032028934	3.01919420607093e-10	0.649040537903585
GSM437097	0.0303032631637488	0.00816407177539438	0.135355815217683	0.0853286773918782	0.0899130908800017	0.00660699532216001	1.86762707026851e-10	0.644328086062371
GSM437098	0.0320244810922202	0.0091608092270301	0.136084090927054	0.0854432933304382	0.0927902031005834	0.00645920640127771	3.0807423540077e-10	0.638037915613322
GSM437099	0.0328049430016617	0.00731231345343367	0.135813250164775	0.0841672237135266	0.0889369400612248	0.00646749074733022	1.05584412562274e-09	0.644497837802204
GSM437100	0.0313979927588992	0.00893712288438057	0.139944938141998	0.0832222168312848	0.0956277451952443	0.00669449520714167	8.84142272291212e-10	0.634175488096909
GSM437101	0.0304258200938529	0.00758756846536541	0.128255804718688	0.083647234894871	0.0889877140010894	0.006187964657192	7.77009279402944e-10	0.654907892391932
GSM437102	0.0301128173796285	0.00926686966568498	0.138252421364612	0.0828959082791415	0.089814401365109	0.00724524700701504	1.31482216543818e-09	0.642412333623987
GSM437103	0.0312441608761831	0.00862930288068844	0.13440114401374	0.0852504463810293	0.0912755767287806	0.00673420504972986	6.77160656104813e-10	0.642465163392688
GSM437104	0.0305420474407974	0.00789890104321408	0.131675181078236	0.0858673888211714	0.0893487333157627	0.00606456261906536	2.5881246873358e-09	0.648603183093628
GSM437105	0.0353284607108968	0.00807013151629072	0.136534414254513	0.0829645431518582	0.0901411147307877	0.00657594747619892	8.93871283643144e-11	0.640385388070068
GSM437106	0.0320895694944607	0.00837083977605959	0.136609337848361	0.0861835913605132	0.0910028717453113	0.00622967854162658	1.20666573957689e-10	0.639514111113001
GSM437107	0.0314120227876128	0.00774116087842116	0.129573595107533	0.0820699641944603	0.0906758355530985	0.00644899845068294	7.49396735702948e-10	0.652078422278794
GSM437108	0.0309363449055929	0.00787209371890274	0.12980908345368	0.0867207053474714	0.0900167427072628	0.00655782011468044	5.66180131692107e-09	0.648087204090608
GSM437109	0.0322556384584115	0.00871556842201464	0.134057593856475	0.0869188400435852	0.0927357881295167	0.00708715984938781	1.00586482324988e-10	0.638229411140022
GSM437110	0.0337185205803244	0.00804679504676199	0.134830073335066	0.0826698253696422	0.0921439414350841	0.00650841679980892	4.97708659804524e-09	0.642082422456226
GSM437111	0.0305028094183904	0.00896307031227381	0.12804679575782	0.0857501441682622	0.0916617165579323	0.00701166450691836	2.57842638955292e-10	0.64806379902056
GSM437112	0.0281919866658274	0.00805762059856493	0.131664780097951	0.0851541072932228	0.0886668787196708	0.00674478177242493	3.88454068637272e-10	0.651519844463884
GSM437113	0.0286565253926343	0.00890027572480271	0.123739623186404	0.0854355957504373	0.0902408758355143	0.00663010147348823	3.37232914974452e-10	0.656397002299486
GSM437114	0.031822341266183	0.00795574722962121	0.132126736486932	0.0846415594102172	0.0913070587624377	0.00632045470776548	3.90896666839484e-10	0.645826101745947
GSM437115	0.0295878677287503	0.00772423314921463	0.126488924692058	0.0849299767617638	0.0901012927699173	0.00640895254353155	5.14336449988447e-09	0.654758747211399
GSM437116	0.0316629436281457	0.00862244098197306	0.129658343092894	0.0849535786221979	0.0920201828091107	0.0069145731562277	5.67427300860076e-10	0.646167937142024
GSM437117	0.0296263897710754	0.00891287392286546	0.128385525961272	0.0836429125150479	0.091286043031093	0.00638535068436425	1.29731861717687e-10	0.65176090398455
GSM437118	0.0303477445426141	0.0083885826593867	0.135802121400357	0.0871441527379846	0.0938761431802548	0.00689275665107071	3.34592854576146e-10	0.637548498493739
GSM437119	0.0290610112500253	0.0101373169393466	0.127647055282384	0.0854120150961776	0.0997390183897917	0.00650884015154009	3.6319151948787e-10	0.641494742527543
GSM437120	0.030111965340599	0.00839801354454653	0.134117618089395	0.0853261660611034	0.0920542073140322	0.00653765122268402	6.65669765938937e-11	0.643454378361073
GSM437121	0.0305527603577439	0.0086874867016057	0.13113826697226	0.0853790180493286	0.0905823526699717	0.00663870221022941	1.46356002345877e-09	0.6470214115753
GSM437122	0.0291458398214024	0.00838714680333993	0.126131038760812	0.0830694479789997	0.0923522113323777	0.00608390279583466	9.56912317538488e-10	0.654830411550322
GSM437123	0.0293056242298583	0.00858896874347116	0.13536887376359	0.0827274016616689	0.0928017926099807	0.00671223179441022	5.26964952727696e-10	0.644495106670056
GSM437124	0.0303541773325057	0.00885073082737338	0.121273111794678	0.0865762164553381	0.0923783723797404	0.00639128294033045	3.89635233811018e-09	0.654176104373682
GSM437125	0.030103611302311	0.00873674908313037	0.132170924705967	0.0816644382659564	0.0933141043437209	0.00686925643499176	6.00889543148843e-10	0.647140915263033
GSM437126	0.0299712592777456	0.00792581470813991	0.142733511755512	0.0875748633924649	0.0894684688878923	0.00635383350063447	5.5354048369606e-10	0.63597224792407
GSM437127	0.0321921469299912	0.00874626056177411	0.12944005316997	0.0851181231387736	0.0925050485823019	0.0063702863254161	2.12729533290812e-10	0.645628081079044
